istanza,agente_peggiore_greedy,costo_greedy,agente_peggiore_locale,costo_locale,stesso_agente,guadagno
MLE_1,1,8.12,0,8.0,False,0.12
MLE_2,6,6.81,1,6.77,False,0.04
MLE_3,8,7.77,4,7.0,False,0.77
MLE_4,5,7.8,8,7.64,False,0.16
MLE_5,12,7.25,0,7.07,False,0.18
MLE_6,5,8.68,1,8.0,False,0.68
MLE_7,5,9.06,9,8.5,False,0.56
MLE_8,10,7.7,4,7.53,False,0.17
MLE_9,4,8.41,10,8.38,False,0.04
MLE_10,5,8.65,4,8.25,False,0.4
MMLE_1,48,25.14,20,25.0,False,0.14
MMLE_2,39,23.81,33,22.45,False,1.35
MMLE_3,48,24.05,26,23.41,False,0.64
MMLE_4,25,23.91,21,23.75,False,0.16
MMLE_5,33,24.9,26,24.5,False,0.4
MMLE_6,37,24.65,39,23.71,False,0.94
MMLE_7,45,25.9,17,25.62,False,0.28
MMLE_8,25,24.57,19,24.19,False,0.38
MMLE_9,19,25.26,46,24.38,False,0.88
MMLE_10,43,23.7,37,23.35,False,0.35
